iter	RMSE
198	0.6528772097
199	0.6515045391
200	0.6506106249
201	0.6496731031
202	0.6493504711
203	0.6484506181
204	0.6473346945
205	0.6460031278
206	0.6452486395
207	0.6442886181
208	0.643587972
209	0.6418272805
210	0.6403324239
211	0.6388315543
212	0.6379617438
213	0.6372895958
214	0.6353458931
215	0.6346721637
216	0.6342116927
217	0.6334768593
218	0.6329244004
219	0.6321714478
220	0.6310808414
221	0.6301991031
222	0.6291160765
223	0.6279988281
224	0.6274154055
225	0.6263580506
226	0.6259789779
227	0.6249658581
228	0.6239165806
229	0.6222813151
230	0.6216960344
231	0.6208086171
232	0.620299608
233	0.619542328
234	0.6188048016
235	0.6175824848
236	0.6171218092
237	0.616497095
238	0.6160976023
239	0.6153585738
240	0.6150226079
241	0.6148346926
242	0.6141434883
243	0.6137028635
244	0.6122000924
245	0.6116683045
246	0.6105957015
247	0.6095842778
248	0.6093214257
249	0.6083336339
250	0.6071859044
251	0.6056621236
252	0.60492667
253	0.6044793505
254	0.6036428387
255	0.602549275
256	0.6011697153
257	0.5995019598
258	0.598689933
259	0.5982429116
260	0.5976154531
261	0.597194385
262	0.5961612822
263	0.5955962398
264	0.5941976172
265	0.5938463326
266	0.5928851272
267	0.5922287898
268	0.5917438425
269	0.5911514254
270	0.5904969068
271	0.5900933043
272	0.5892730814
273	0.5884594344
274	0.5881513359
275	0.5875415611
276	0.5867659678
277	0.5860034388
278	0.5855374559
279	0.5849822693
280	0.5840673983
281	0.5831665448
282	0.582473147
283	0.5817687008
284	0.5812705598
285	0.580267651
286	0.5794643462
287	0.5786398099
288	0.5780670019
289	0.5769732373
290	0.5766467809
291	0.5762763153
292	0.5755394139
293	0.5751739192
294	0.574530719
295	0.5740336309
296	0.5737435445
297	0.5731741337
298	0.5725126092
299	0.5722039399
300	0.571972558
301	0.5714897262
302	0.5707776551
303	0.569755114
304	0.5694754342
305	0.5685766945
306	0.5677248665
307	0.5669960855
308	0.5666773122
309	0.5656223661
310	0.5650674022
311	0.5644957902
312	0.564243139
313	0.5641266742
314	0.5636684732
315	0.5629715523
316	0.5621082765
317	0.5615088239
318	0.5607727251
319	0.5595186755
320	0.5591821944
321	0.5588416345
322	0.5581990015
323	0.5573703335
324	0.5571730772
325	0.5566318777
326	0.555935514
327	0.5552191557
328	0.5547767713
329	0.5541111288
330	0.5531212696
331	0.5523309449
332	0.5517669098
333	0.5510894521
334	0.5506605287
335	0.5494439456
336	0.5482547119
337	0.5477295541
338	0.5468492493
339	0.5464990431
340	0.5461865651
341	0.5451622038
342	0.5446222355
343	0.5436130422
344	0.543056106
345	0.5421022162
346	0.5416900629
347	0.5412853907
348	0.5410517698
349	0.540157351
350	0.5399608949
351	0.5388816243
352	0.5378260381
353	0.537463053
354	0.5372292768
355	0.5366169416
356	0.5358352019
357	0.5353774318
358	0.5347836683
359	0.5345041462
360	0.5341287458
361	0.5334755644
362	0.5328709668
363	0.5323766585
364	0.5321183056
365	0.531342476
366	0.531095714
367	0.5306676168
368	0.5303307598
369	0.5297659391
370	0.5286531648
371	0.5281123041
372	0.5276028506
373	0.5266552499
374	0.52570157
375	0.5252085985
376	0.5247727311
377	0.5244982643
378	0.5240446437
379	0.5233068712
380	0.5229150132
381	0.522263321
382	0.5212597696
383	0.5206356336
384	0.5200125981
385	0.5193555516
386	0.5181531817
387	0.5179668738
388	0.5174843856
389	0.5169609738
390	0.5164734346
391	0.5162287578
392	0.5157653911
393	0.514361294
394	0.5142626664
395	0.5138644112
396	0.5134053357
397	0.5130611936
398	0.5126896807
399	0.5121164055
400	0.511562245
401	0.5112506337
402	0.5101994808
403	0.5098476275
404	0.5095172172
405	0.5091930555
406	0.5088125956
407	0.5085643545
408	0.5081421038
409	0.5077035602
410	0.5069943709
411	0.5065233433
412	0.5061080303
413	0.5058924616
414	0.5055393028
415	0.505071771
416	0.5046667267
417	0.5041873827
418	0.5038006217
419	0.5031916507
420	0.5028520465
421	0.5025431262
422	0.5020448534
423	0.5016290646
424	0.5012696177
425	0.5002781101
426	0.4996394913
427	0.4993069096
428	0.4989751202
429	0.4987004035
430	0.4983802571
431	0.4980085392
432	0.4974411974
433	0.4970592874
434	0.4966532283
435	0.496384339
436	0.4957537942
437	0.4953869091
438	0.4951126154
439	0.4947905095
440	0.4944956257
441	0.4941182205
442	0.4939514783
443	0.4935915936
444	0.4931103849
445	0.4922227147
446	0.4918960434
447	0.4914341069
448	0.4911410366
449	0.4898974601
450	0.4891002374
451	0.4882740262
452	0.4875043802
453	0.4872415178
454	0.4865046763
455	0.4860934924
456	0.4859631855
457	0.4853850849
458	0.4852057804
459	0.4844353927
460	0.4840061438
461	0.4834135214
462	0.4823384778
463	0.4820427775
464	0.481854337
465	0.4814746832
466	0.4812885834
467	0.4809747924
468	0.4806466952
469	0.4803660217
470	0.4800547907
471	0.4797348799
472	0.4793052128
473	0.4790274345
474	0.4786834104
475	0.4783349395
476	0.4780844364
477	0.477848749
478	0.4776371402
479	0.4774968518
480	0.4772946196
481	0.4770273169
482	0.4765208291
483	0.4758658502
484	0.4756235245
485	0.4754126911
486	0.4750624702
487	0.4748368974
488	0.4746136931
489	0.4743439896
490	0.4737700229
491	0.4733141219
492	0.4725535456
493	0.4717536461
494	0.4714020326
495	0.4707919697
496	0.4704186491
497	0.4700849694
498	0.4698186624
499	0.4693180134
500	0.4689317781
501	0.4685140892
502	0.4680431353
503	0.4678089153
504	0.4674781468
505	0.467238006
506	0.4669836881
507	0.4667848739
508	0.4663194614
509	0.4661426147
510	0.4659126771
511	0.4655599851
512	0.4651007097
513	0.464934953
514	0.4646378122
515	0.4642960715
516	0.4641209221
517	0.4637476569
518	0.463527548
519	0.4627275762
520	0.4624389886
521	0.4618740063
522	0.461468238
523	0.461262173
524	0.4609196645
525	0.4602127236
526	0.4600364128
527	0.4597175872
528	0.4594002703
529	0.4590681117
530	0.4587996518
531	0.4586100395
532	0.4582432036
533	0.4576736214
534	0.4573659717
535	0.4571274163
536	0.4564651947
537	0.4563597668
538	0.456123546
539	0.4558631801
540	0.455564785
541	0.4551776107
542	0.454854125
543	0.453874737
544	0.4537247591
545	0.453240091
546	0.4529943872
547	0.452780275
548	0.4524597178
549	0.4521556057
550	0.4518292037
551	0.4516729914
552	0.4513065645
553	0.4509718615
554	0.4503938597
555	0.450174521
556	0.4499562212
557	0.44953869
558	0.4492922397
559	0.4487837139
560	0.4485812269
561	0.4482586236
562	0.4480558454
563	0.4473261393
564	0.4472026215
565	0.4468404283
566	0.4466020247
567	0.4464355077
568	0.4462268887
569	0.4461500457
570	0.4459018518
571	0.4456271956
572	0.4453962573
573	0.4451527432
574	0.4449723385
575	0.4444335354
576	0.4441202796
577	0.4439469429
578	0.4437153619
579	0.4434636146
580	0.4432121789
581	0.4430144411
582	0.4427827503
583	0.4424210759
584	0.4420901006
585	0.4419328283
586	0.4414028304
587	0.4412782281
588	0.4411263177
589	0.4409861533
590	0.4408006664
591	0.4405930799
592	0.4404262183
593	0.4400555013
594	0.4397765802
595	0.4396564695
596	0.439400753
597	0.4391233922
598	0.4388772795
599	0.4382649494
600	0.4380917661
601	0.4375865998
602	0.4368564541
603	0.4366425426
604	0.436319333
605	0.4357285802
606	0.4355413231
607	0.4350176762
608	0.4344203665
609	0.4341944978
610	0.4338249499
611	0.4337235417
612	0.4334897901
613	0.4331757855
614	0.4329788669
615	0.4324570466
616	0.4319291526
617	0.4318144621
618	0.4313577331
619	0.4310485985
620	0.4306514453
621	0.4305045631
622	0.4300357799
623	0.4297822939
624	0.4295691818
625	0.4293995529
626	0.4285916426
627	0.4284202644
628	0.4282456294
629	0.4276695887
630	0.4273841118
631	0.4271882388
632	0.4267330674
633	0.4265492406
634	0.426307796
635	0.4261112928
636	0.4257174984
637	0.4255582919
638	0.4252543576
639	0.4250758455
640	0.4247000634
641	0.4244757475
642	0.4242405277
643	0.4240285748
644	0.4238352741
645	0.4233169683
646	0.4231529947
647	0.4227326272
648	0.4221625911
649	0.421882319
650	0.4217121685
651	0.4215687466
652	0.4213801664
653	0.4212494877
654	0.420961589
655	0.4207953249
656	0.4204040504
657	0.4201952519
658	0.419959821
659	0.4196943336
660	0.4194082378
661	0.419092327
662	0.4189275886
663	0.4186916256
664	0.4184048588
665	0.4182717838
666	0.4181016283
667	0.4179554528
668	0.4177259566
669	0.4172412325
670	0.4170996175
671	0.4170220594
672	0.4165110951
673	0.4164085259
674	0.4162484912
675	0.4155659663
676	0.4154116637
677	0.4150957514
678	0.4144366319
679	0.4143515628
680	0.4141343875
681	0.4139326499
682	0.413753937
683	0.4133292272
684	0.4130481962
685	0.4129328881
686	0.412575522
687	0.4123534437
688	0.4118790386
689	0.4116147522
690	0.4112826166
691	0.4111018699
692	0.4109059194
693	0.4106718594
694	0.4104802401
695	0.4102569902
696	0.4096459358
697	0.40951165
698	0.4093550971
699	0.4092291709
700	0.4086394512
701	0.4083387955
702	0.4081798408
703	0.4080681958
704	0.4077406443
705	0.4074083005
706	0.4071952331
707	0.4069752925
708	0.4068525813
709	0.4067372931
710	0.406407492
711	0.4062953271
712	0.4060440861
713	0.4058380666
714	0.4054770307
715	0.4053736332
716	0.4047670217
717	0.404651641
718	0.4044674709
719	0.4042800236
720	0.4038936546
721	0.4034979464
722	0.4033244783
723	0.4030839979
724	0.4029780343
725	0.4026064729
726	0.4023227606
727	0.4021790704
728	0.4020449554
729	0.4019743938
730	0.4017857525
731	0.4016255225
732	0.4014566723
733	0.4011722495
734	0.4010203183
735	0.4008329707
736	0.400733816
737	0.4004934508
738	0.4003455228
739	0.4001701764
740	0.3999897947
741	0.3993791692
742	0.3988907189
743	0.398738947
744	0.3985206992
745	0.3979849484
746	0.3978776008
747	0.3977147201
748	0.3975981123
749	0.3974322726
750	0.3972075142
751	0.3968152101
752	0.3966636507
753	0.3964497464
754	0.3962441699
755	0.3959588983
756	0.3958111689
757	0.3955497492
758	0.3950386334
759	0.3948818664
760	0.3946820445
761	0.3944837448
762	0.3943712678
763	0.3942502718
764	0.3937377158
765	0.3934147137
766	0.3930786014
767	0.392805447
768	0.392338216
769	0.392207841
770	0.3921297546
771	0.3918045742
772	0.3916803089
773	0.3914794353
774	0.3912507608
775	0.3911492031
776	0.3910518902
777	0.3908653364
778	0.3905737223
779	0.3903965549
780	0.3901876694
781	0.3899218173
782	0.3898020653
783	0.3896302876
784	0.3893352014
785	0.3889898119
786	0.3888142574
787	0.3884287067
788	0.3881562755
789	0.3880386879
790	0.3878799762
791	0.3876986332
792	0.3875805927
793	0.3874716838
794	0.3873709326
795	0.3872643018
796	0.3870772411
797	0.3869647325
798	0.3867768557
799	0.3865889409
800	0.3863745657
801	0.3862812809
802	0.3861620727
803	0.3860038745
804	0.3858473937
805	0.3857441099
806	0.3856401056
807	0.3855914575
808	0.3853380604
809	0.3852082018
810	0.3849214012
811	0.3846557664
812	0.38456307
813	0.3843079919
814	0.3842141737
815	0.3840405815
816	0.3834970258
817	0.3832831722
818	0.3832173393
819	0.3830012568
820	0.3826710801
821	0.3825460939
822	0.3823389122
823	0.3821307033
824	0.3819758264
825	0.3818289441
826	0.3814146992
827	0.381245111
828	0.3807903538
829	0.3806100234
830	0.3805306159
831	0.3803951361
832	0.380197023
833	0.3800060479
834	0.3796756825
835	0.3795460677
836	0.3793957557
837	0.3792600717
838	0.3791103608
839	0.3789120017
840	0.3786454705
841	0.3785299632
842	0.3784173049
843	0.3781474552
844	0.37808259
845	0.3778594816
846	0.3777228205
847	0.3775489196
848	0.3774681319
849	0.3773592508
850	0.3771650388
851	0.3770115384
852	0.3768464473
853	0.376755056
854	0.3765342901
855	0.3764249905
856	0.3759738134
857	0.3758405216
858	0.3757410567
859	0.3754585736
860	0.3752746188
861	0.3750719959
862	0.3748333922
863	0.3746884345
864	0.374456307
865	0.3742352703
866	0.3741192753
867	0.3738961644
868	0.3735127757
869	0.3733715438
870	0.3732725404
871	0.3730840929
872	0.3729995679
873	0.3728662684
874	0.3727456148
875	0.3726714562
876	0.3725003176
877	0.3724338522
878	0.3723240814
879	0.3722538592
880	0.3720787471
881	0.3719536489
882	0.371801628
883	0.3717378168
884	0.3716536298
885	0.3715726139
886	0.3711156991
887	0.370871854
888	0.3705347484
889	0.3704534291
890	0.3703345203
891	0.3702608499
892	0.3700479745
893	0.3699506485
894	0.3697800428
895	0.3695206536
896	0.3693286765
897	0.3689724799
898	0.3685931661
899	0.3682910341
900	0.3681133138
901	0.367952854
902	0.3678677267
903	0.3677741982
904	0.3676308592
905	0.3673432573
906	0.3672714786
907	0.3671812937
908	0.3671044334
909	0.3670193707
910	0.3669265749
911	0.366808662
912	0.3667038147
913	0.3663454021
914	0.3660067318
915	0.3658380702
916	0.3657366003
917	0.3654304855
918	0.365273376
919	0.3651001068
920	0.3650216065
921	0.3649505989
922	0.3647102787
923	0.3645297611
924	0.3644073514
925	0.3642600011
926	0.3641016011
927	0.3639326396
928	0.3638575856
929	0.3637695293
930	0.3635854545
931	0.3632814199
932	0.3631341927
933	0.362927966
934	0.3627739457
935	0.3627129511
936	0.3625614602
937	0.3624116484
938	0.3622246579
939	0.3621532058
940	0.3620782402
941	0.3619906772
942	0.361833296
943	0.36173011
944	0.3614609688
945	0.361218268
946	0.3609404595
947	0.3608500663
948	0.3607726973
949	0.3606091596
950	0.3605587997
951	0.3604468685
952	0.3601958941
953	0.359872512
954	0.3597905956
955	0.3597429507
956	0.3596328647
957	0.3595005693
958	0.3593300806
959	0.3591307643
960	0.3590267747
961	0.3588565128
962	0.3587950431
963	0.3585338437
964	0.3582439059
965	0.3581329145
966	0.3580677539
967	0.3579539617
968	0.3578935264
969	0.3578115934
970	0.3577488939
971	0.35755477
972	0.3572303421
973	0.3568842634
974	0.3566905902
975	0.3565887774
976	0.3562349038
977	0.3561424296
978	0.3560370146
979	0.3557521682
980	0.3556133668
981	0.3552991738
982	0.3552308865
983	0.3550905818
984	0.3550362246
985	0.3548252677
986	0.3546310023
987	0.3545009316
988	0.3544148011
989	0.3542187605
990	0.3540490979
991	0.3539755732
992	0.3536652928
993	0.3536119034
994	0.3535523714
995	0.3533934419
996	0.3531993048
997	0.3530332371
998	0.3529279865
999	0.3526727285
